order,id,date,time,title,url,visitCount,typedCount,transition
53,3693,5/8/2024,18:15:17,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
54,3614,5/8/2024,18:14:29,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
55,3614,5/8/2024,18:14:29,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
56,3693,5/8/2024,18:14:24,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
57,3693,5/8/2024,18:14:24,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
58,3693,5/8/2024,18:14:24,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
59,3692,5/8/2024,17:55:48,Sintaxe básica de gravação e formatação no GitHub - GitHub Docs,https://docs.github.com/pt/get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax#styling-text,2,0,link
60,3692,5/8/2024,17:55:48,Sintaxe básica de gravação e formatação no GitHub - GitHub Docs,https://docs.github.com/pt/get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax#styling-text,2,0,link
61,3688,5/8/2024,17:51:28,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on#ip=1,3,0,link
62,3691,5/8/2024,17:51:17,5 Dicas para Melhorar seu Profile README do GitHub,https://www.dio.me/articles/5-dicas-para-melhorar-o-readme-do-seu-perfil-no-github,2,0,link
63,3691,5/8/2024,17:51:17,5 Dicas para Melhorar seu Profile README do GitHub,https://www.dio.me/articles/5-dicas-para-melhorar-o-readme-do-seu-perfil-no-github,2,0,link
64,3688,5/8/2024,17:51:14,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on#ip=1,3,0,link
65,3690,5/8/2024,17:51:10,Markdown editor - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=Markdown+editor&sa=X&ved=2ahUKEwiv7bSm9_6FAxWppZUCHR_UAecQ1QJ6BAg9EAE&biw=960&bih=967&dpr=1&safe=active&ssui=on,2,0,link
66,3690,5/8/2024,17:51:09,Markdown editor - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=Markdown+editor&sa=X&ved=2ahUKEwiv7bSm9_6FAxWppZUCHR_UAecQ1QJ6BAg9EAE&biw=960&bih=967&dpr=1&safe=active&ssui=on,2,0,link
67,3688,5/8/2024,17:51:04,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on#ip=1,3,0,link
68,3686,5/8/2024,17:51:03,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on,3,0,link
69,3687,5/8/2024,17:50:58,Como usar Markdown e Liquid no GitHub Docs - GitHub Docs,https://docs.github.com/pt/contributing/writing-for-github-docs/using-markdown-and-liquid-in-github-docs,2,0,link
70,3687,5/8/2024,17:50:58,Como usar Markdown e Liquid no GitHub Docs - GitHub Docs,https://docs.github.com/pt/contributing/writing-for-github-docs/using-markdown-and-liquid-in-github-docs,2,0,link
71,3686,5/8/2024,17:50:22,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on,3,0,link
72,3686,5/8/2024,17:50:22,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?sca_esv=d7773eb477db942c&sca_upv=1&q=como+escrever+colorido+no+github&source=lnms&uds=ADvngMiHSDNDJVyPkaZvK-jpBvVeU7EMfaznp42TkQ66_n5u7XJ0Z99KNDaYUb4iHFke8Ma7Pj_vw9N4O-7KJcuIJIWj0NJfePR6wNCtd6PjyHyz1HrtyUGL7hjK1YCnXC-79c2pN_CpHYAwdP8FPvnUBM1zqRTX4Aq6uFk4W7vez_JfzygEnu08fztUXvpoAb8OvqWw4wNpbf2t5INnvymlzZIkSzw8jSVnXAXo55LH6H2BTrQuB977ZnLvuYeJ6gwvP-FZx-Ao4j1XytrY_KW9w0-qZsAA7f0PIdQWWjzber3HCGlGeLp_-GjUFfKrtC6n_4uCGiFHFdFCk-Tu0zJANVwpAFKgtw&sa=X&ved=2ahUKEwjg5Iei9_6FAxVCpJUCHZ5JAPEQ0pQJegQIERAB&biw=960&bih=967&dpr=1&safe=active&ssui=on,3,0,link
73,3684,5/8/2024,17:50:13,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?q=como+escrever+colorido+no+github&sca_esv=d7773eb477db942c&sca_upv=1&udm=2&biw=960&bih=967&ei=S-Q7ZvvQA7zV1sQPr4ij0AY&ved=0ahUKEwi7oumB9v6FAxW8qpUCHS_ECGoQ4dUDCBA&uact=5&oq=como+escrever+colorido+no+github&gs_lp=Egxnd3Mtd2l6LXNlcnAaAhgCIiBjb21vIGVzY3JldmVyIGNvbG9yaWRvIG5vIGdpdGh1YkjsM1AAWJQycAN4AJABAJgBlgKgAckmqgEGMC4zMy4yuAEDyAEA-AEBmAIdoALiHcICERAAGIAEGLEDGIMBGIoFGIsDwgIIEAAYgAQYiwPCAg4QABiABBixAxiDARiLA8ICBxAAGAMYiwPCAgsQABiABBixAxiLA8ICChAAGIAEGEMYigXCAg0QABiABBhDGIoFGIsDwgIFEAAYgATCAgcQABiLAxgewgIJEAAYCBiLAxgewgIKEAAYgAQYGBiLA8ICBBAAGB6YAwCSBwYyLjI2LjGgB_emAQ&sclient=gws-wiz-serp&safe=active&ssui=on,2,0,link
